IME;SIFRA;VREDNOST
LVZN;1013;YORK
LVZN;1014;ZACCARIA
LVZN;1015;ZAVEC
LVZN;1016;ZIDAR
LVZN;1017;ZMAJ
LVZN;1018;ZORDAN
LVZN;1019;ZORZI
LVZN;1020;ZUGGABEL
LVZN;1021;ZWARTJES
LVZN;1022;�VAN
LVZN;1023;7.JULIJ
LVZN;1024;WIESE
LVZN;1025;CASE
LVZN;1026;CAST
LVZN;1027;KHD
LVZN;1028;MASTER
LVZN;1029;MCCORMICK
LVZN;1030;MEGGORNIK
LVZN;1031;SIP
LVZN;1032;TAFE
LVZN;1033;TIGRETRAC
LVZN;1034;VALTRA VALMET
LVZN;1035;VTZ
LVZN;1036;CACCIAMALI
LVZN;1037;FAS
LVZN;1038;OEAF
LVZN;1039;MARBUS
LVZN;1040;MALAGUTI
LVZN;1041;AEON
LVZN;1042;ATALA
LVZN;1043;BETA MOTOR
LVZN;1044;C.P.I.
LVZN;1045;CHUNLAN
LVZN;1046;CIMATTI
LVZN;1048;DI BLASI
LVZN;1049;EL-TRANS
LVZN;1050;ERING
LVZN;1051;GORICKEWERKE
LVZN;1052;HER CHEE
LVZN;1053;HERO
LVZN;1054;HERO PUCH
LVZN;1055;HMW
LVZN;1056;HYOSUNG
LVZN;1057;ITALJET
LVZN;1058;ITALVELO
LVZN;1059;ITOM
LVZN;1060;LEGNANO
LVZN;1061;MANET
LVZN;1062;MBK
LVZN;1063;MORINI
LVZN;1064;MOSGUITO
LVZN;1065;MOTOBECANE
LVZN;1066;MOTOR UNION
LVZN;1068;NRG
LVZN;1069;PERIPOLI
LVZN;1070;PETERSON
LVZN;1071;PGO
LVZN;1072;RABENEICK
LVZN;1073;REX
LVZN;1074;RIEJU
LVZN;1075;RIGAS MOTORUPNICA
LVZN;1076;RIZZATO
LVZN;1077;ROG
LVZN;1078;ROMET
LVZN;1079;SECMA
LVZN;1080;SIAMOTO
LVZN;1081;SIDERMO
LVZN;1082;SOLEX
LVZN;1083;STANDARD MOTO
LVZN;1084;SUNDIRO
LVZN;1085;SYM
LVZN;1086;TGB
LVZN;1087;TMZ
LVZN;1088;TORI
LVZN;1089;TORPADO
LVZN;1090;VITTORIA
LVZN;1091;ZVL
LVZN;1092;ADLY
LVZN;1093;AERMACCHI
LVZN;1094;BREMACH
LVZN;1095;DNEPR
LVZN;1096;EMW
LVZN;1097;FBM
LVZN;1098;HUSABERG
LVZN;1099;IMZ
LVZN;1100;INDIAN
LVZN;1101;JUNAK
LVZN;1102;LML-PIAGGIO
LVZN;1103;MESEERSCHMITT
LVZN;1104;MINSK
LVZN;1105;MONTESA
LVZN;1106;MOTO TM
LVZN;1107;MOTOCONFORT
LVZN;1108;NIMBUS
LVZN;1109;RAJH
LVZN;1110;SULKY
LVZN;1111;TM RACING
LVZN;1112;TWN
LVZN;1113;URAL
LVZN;1114;VOR
LVZN;1115;OLTEDA
LVZN;1116;OLTENA
LVZN;1117;MAYBACH
LVZN;1118;SJANGYONG
LVZN;1119;SMART
LVZN;1120;BOBCAT
LVZN;1121;AERO
LVZN;1122;EAGLE
